,X,GISJOINID,POP15,POP15DEN,PCTPOPCHA,MDAGE,PCINC15,PCTINCCHA,MDHV15,MDHVCHA,MDCRENT15,PCTMDCR,PCTHSAFF15,PCTHSBRD15,PCTBACH15,PCTVA15,PCTFAM15,HSUNIT15,HS15DEN,MDBLDAGE15,PCTCTLT15,PCTCT1540,PCTCTMT40,PCTPT,PCTMBW,PCTCAR,PCTSAMEHS,PCTMETROPC,CL11_2,CL4_2
580,580,G42010100010023,1216,15082.94871,-23.9049,47.6,77681,-22.0462,606300,-9.5345,1472,9.4424,64.9682,18.7898,82.9567,3.3577,38.5196,685,8496.562388,52,13.9059,73.6196,12.4744,26.64092664,33.0116,33.3977,90.8699,5.5125,10,2
581,581,G42010100366001,1867,1989.444207,40.6933,43,75764,-4.5926,345000,-20.9622,2295,33.1206,62.6404,30.0562,70.3012,30.6748,47.7876,1467,1563.210847,15,13.7343,74.237,12.0287,18.13953488,10.8527,56.4341,74.3916,16.9248,2,2
582,582,G42010100288001,1753,32009.51892,-5.9549,26.1,10128,-12.0452,46300,-20.3098,633,12.0354,36.2712,60.339,0.907,20.7012,79.1579,599,10937.65079,71,5.9406,41.5842,52.4752,39.54545455,9.5455,42.7273,83.9087,13.7507,3,4
583,583,G42010100287001,1688,25229.26465,16.0935,28.1,12409,11.7626,82700,33.3871,603,-0.1656,31.769,53.0686,18.8922,10.7639,68.2879,576,8609.038175,70,14.4599,73.6934,11.8467,24.48275862,5.6897,60.6897,86.0646,9.9282,11,3
584,584,G42010100119002,1543,22632.60956,-20.9124,42.2,21447,19.4886,87800,-19.4495,814,15.625,33.7349,35.4217,13.8699,8.3855,39.3443,799,11719.67274,75,9.6774,45.6774,44.6452,39.03345725,4.0892,52.912,92.871,7.129,3,4
585,585,G42010100121001,1445,22175.57185,13.1558,28.5,22856,-11.7256,160500,-7.5461,1098,15.3361,46.4646,32.8283,23.9482,10.2564,39.3985,741,11371.69463,62,16.8555,54.5326,28.6119,24.16201117,9.2179,57.5419,82.4373,5.6631,2,3
586,586,G42010100122041,1864,23286.75882,-1.7914,49.5,35295,10.8999,173000,1.7049,818,6.2338,43.7824,31.3472,49.2161,10.8383,41.7854,1181,14754.1106,58,13.549,62.5885,23.8625,6.051587302,4.0675,87.996,94.367,3.809,2,3
587,587,G42010100275003,859,15574.83932,50.7018,34,14556,-1.3086,92200,0,550,22.2222,30.5085,40.678,14.0127,1.9293,53.4426,311,5638.85335,76,2.8213,65.2038,31.9749,35.3115727,0,59.3472,83.4692,16.5308,8,4
588,588,G42010100275002,1304,28278.76258,-8.7474,30,19601,39.2809,106300,1.8199,589,-25.0636,62.7737,37.2263,9.944,14.2857,65.8854,448,9715.403095,72,13.4766,45.7031,40.8203,32.14285714,0,63.3459,98.2239,1.7761,5,4
589,589,G42010100369003,2533,15789.2317,21.9547,22.2,18614,-27.1268,0,0,2234,11.6442,41.5822,38.9452,61.5299,15.2174,37.4753,598,3727.580163,43,55.6732,33.1316,11.1952,22.6037196,60.8011,11.1588,55.5466,20.7745,9,1
590,590,G42010100010012,1183,28602.39336,22.4638,31.8,69798,-15.1495,913000,39.9448,1245,24.8746,61.6541,23.3083,81.377,5.2632,50,513,12403.23567,76,22.242,62.8114,14.9466,21.85714286,26.8571,31.5714,74.7253,18.1741,10,2
591,591,G42010100190005,1589,16968.62521,-13.4532,17.7,11439,28.5137,99000,18.705,661,27.3603,58.9404,35.0993,0.7485,15.9322,73.3871,590,6300.496459,72,22,56.6667,21.3333,14,6.3333,76,75.4563,24.5437,11,3
592,592,G42010100190003,2219,21947.96855,-10.3796,17.1,9925,-4.2635,100800,-3.263,804,-0.495,15.7534,79.7945,13.4078,1.9386,75.7825,619,6122.484241,60,7.8799,46.3415,45.7786,31.14446529,0,68.8555,70.7526,29.2474,8,3
